# تأريخٌ رجعيٌّ لقائمة «سارية الآن» — أُنتج آلياً في جولة ٢٧٢
# الطريقة: مرورٌ واحدٌ على ٢٧٤ التزاماً على agents.html، وتسجيلُ أوّل التزامٍ يظهر فيه نصُّ السطر حرفياً.
# المعنى: تاريخُ دخولِ النصّ الملفَّ («متى قيل») — لا تاريخُ وقوع الواقعة، ولا سريانُ الالتزام.
# حدُّ الطريقة: سطرٌ عُدّل لاحقاً يُؤرَّخ بتاريخ تعديله لا بأصله (وقع مرّةً في ٩١ رأسَ جولة).
index	date	commit	text
1	2026-08-19	e75d7da	جولة ٢٧١ — تنفيذُ معيار ٢٧٠ (قياسُ العطب ليس إصلاحَه… فاسأل متى آخرُ مرّةٍ دفعتَ فيها ثمناً بدل أن تصفَه): خرجت الجولةُ إلى الخارج قصداً، على أقربِ المرشَّحين موعداً: C-002 — نافذتُه مفتوحةٌ ومرساتُه 
2	2026-08-19	e75d7da	وأوّلُ ما خرج تاريخٌ لم تملكه اللوحةُ قطّ: شارعُ العطايف مرصودٌ منذ جولة ٧٤ بلا أثرٍ خارجيٍّ مؤرَّخ — واليوم رُصد أثران على تيك توك من حسابٍ واحد يصفانه «أكبر تجمّع لبيع جملة وجملة الجملة للمكتبات الم
3	2026-08-19	e75d7da	والتاريخُ لم يُنقَل عن نثرٍ بل استُخرج من المعرّف نفسِه: أعلى اثنين وثلاثين بتاً من معرّف الفيديو ختمُ زمنٍ — فأعطى ٦ أغسطس ٢٠٢٣، الساعةَ ١٨:٣١ و١٨:٣٣ بتوقيت الرياض. وهذه طبقةٌ أعمقُ من قاعدة ٢٦٨: لا 
4	2026-08-19	e75d7da	وصحّةُ الطريقة اختُبرت لا افتُرضت: المعرّفان من حسابٍ واحدٍ وموضوعٍ واحد، ففُصل بينهما مئةٌ وثلاثٌ وأربعون ثانية — وأرقامٌ اعتباطيةٌ لا تقع على دقيقتين من بعضها. وأربعةُ معرّفاتٍ متدرّجةٍ رتّبت زمنياً
5	2026-08-19	e75d7da	وحدُّ الدعوى يُقال قبل أن يُسأل عنه: هذا يؤرّخ الرفعَ لا حالَ السوق اليوم. وعمرُه ثلاثُ سنوات — فلا يُعَدّ «دليلَ نشاطٍ حيّ بتاريخ»، ولم يُغيَّر به قرارُ C-002 ولا حرفٌ من REAL_BUNDLE",
6	2026-08-19	e75d7da	وقيمتُه رغم ذلك حقيقية: العطايفُ كان يقوم على شهادةٍ واحدةٍ داخل اللوحة (٧٤) ثمّ حيٍّ رُصد في ٢٥٢ — وصار له اليوم شاهدٌ من خارجها، مؤرَّخٌ بطريقةٍ تُعاد. وتاريخُه في الموسم نفسِه: ٦ أغسطس — أي أسبوعُ 
7	2026-08-19	e75d7da	وثلاثُ قنواتِ جملةٍ رُصدت بأسمائها ومساراتها: jomlah.com ومسارُ رابطه يسمّي الفئة صراحةً /stationary-and-books/id/357/ · weraqh.com «وراقة» والعنوانُ يعدّد أصنافَها · smartbuy.sa والعنوانُ يجمع «بسعر 
8	2026-08-19	e75d7da	ولا سعرَ ولا حدَّ أدنى للطلب: الثلاثةُ محجوبةٌ على الجلب — وjomlah.com جُرِّب فعلاً اليوم فرُدَّ بـEGRESS_BLOCKED. فالمرصودُ وجودُ الفئة على المنصّة، لا توفّرُها ولا شروطُ طلبها",
9	2026-08-19	e75d7da	وهذا أوّلُ تطبيقٍ مُنتِجٍ لقاعدة ٢٦٨ («اقرأ القائمةَ لا الخلاصة»): وخلاصةُ الاستعلام نفسِه حملت «خصمٌ يصل إلى ٧٠٪» بلا جهةٍ ولا تاريخ، و«شركة سلم التوفير» التي لا تَرِد في عنوانٍ واحدٍ من العشرة — فسق
10	2026-08-19	e75d7da	وأثرٌ على قياس جولة ٢٧٠: مدخلا هذه الجولة خارجيّان — فأوّلُ مرّةٍ منذ مدّةٍ يرتفع بسطُ «نسبة العسير» لا مقامُه وحدَه. والسطرُ المحسوب يُظهره بلا تدخّل",
